instname,state,zip,control,medical,hospital,fte_count,tuition,revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
Piedmont Technical College,South Carolina,29646,1,2,2,3645.615667,19107586,38582947,,826,96,621,72,5423,417,48,2797,24,3,643,254,30,4941,200,3492,4692,,,,40811327,43043299,4733031,38310268,359854,38310268,,,515,,,,,329,81,,,,,,515,128,0.186861314,1538,5566,2675,,,2675,2891,,,2891,5566,,,5566,7,38,2110,58,3294,,59,0,123,821,441,278,263,221,170,231,120,7,0,,,,,,,,,,,,123,821,441,278,263,221,170,231,120,7,0,492,260,305,324,413,318,278,329,153,18,1,,,,,,,,,,,,492,260,305,324,413,318,278,329,153,18,1,,,,,,,,,,,,,,,,,,,,,,,,119,188,3.264194881,5.156879309,568,43031.34454,7.461016872,0.38762215,119,-82.120631,34.208357
Presbyterian College,South Carolina,29325,2,2,2,1207.035711,34737227,38317325,0.6455363,359,99,82,23,5148,230,63,7213,358,98,21129,175,48,6317,2444,26436,26436,,,,35978336,149913360,42354992,107558368,4154518,107558368,,76780358,,277,,,,,,,,,,,277,227,0.659883721,400,1221,1198,,,1198,23,,,23,1221,,,1221,3,9,99,16,1048,,33,13,8,584,531,72,2,,0,1,0,0,,,,,,,,,,,,,8,584,531,72,2,,0,1,0,0,,5,3,0,9,1,,1,2,1,1,,,,,,,,,,,,,5,3,0,9,1,,1,2,1,1,,1455,725,730,1017,467,550,364,166,198,1455,1017,364,0,21,27,,,,,510,630,490,620,87,37,7.207740352,3.065360839,349,58237.42529,23.69441081,0.701612903,87,-81.879845,34.467029
University of South Carolina-Aiken,South Carolina,29801,1,2,2,2793.917549,25044081,48598853,0.109849269,578,96,256,43,5041,484,81,4384,162,27,2987,350,58,5574,250,7700,15432,250,9788,21080,42404796,94171978,45448787,48723191,619517,48723191,,,,486,26,,,,,,,,,,512,221,0.380378657,950,3202,2459,17,17,2476,743,50,50,793,3202,67,67,3269,11,32,850,96,2020,101,113,46,20,967,867,372,113,50,30,28,11,0,1,,,,12,2,2,0,1,0,,,20,967,867,384,115,52,30,29,11,0,1,174,121,80,124,71,47,23,51,18,34,0,,,,5,17,4,4,6,14,,,174,121,80,129,88,51,27,57,32,34,0,2509,847,1662,1329,456,873,776,275,501,2509,1329,732,44,18,23,17,23,18,23,450,550,440,540,150,85,5.368805534,3.078115173,524,55116.46622,12.81354921,0.63559322,148,-81.764188,33.580256
University of South Carolina-Beaufort,South Carolina,29909,1,2,2,1402.352488,12574671,20381473,0.038463829,308,87,137,39,4701,183,52,3826,79,22,3042,216,61,5785,416,6914,14764,,,,18818222,44164537,1593028,42571509,7092397,42571509,,,5,183,,,,0,,0,,,,,188,24,0.196721311,628,1684,1260,,,1260,424,,,424,1684,,,1684,9,18,252,97,1198,60,33,17,10,521,302,201,116,50,22,26,10,1,1,,,,,,,,,,,,10,521,302,201,116,50,22,26,10,1,1,1,59,49,92,82,38,30,37,28,7,1,,,,,,,,,,,,1,59,49,92,82,38,30,37,28,7,1,1141,501,640,700,326,374,351,173,178,1141,700,327,24,18,22,17,22,17,22,440,550,440,530,57,80,4.064598629,5.70469983,295,55680.70175,10.05453345,0.416058394,57,-80.973438,32.303365
University of South Carolina-Columbia,South Carolina,29208,1,1,2,25664.75024,391788631,839046247,0.23117947,3485,90,709,18,5178,2163,56,5171,2306,59,3930,1592,41,6352,400,8756,23332,400,9788,21080,728956614,1362456133,469429193,893026940,74008044,893026940,,,8,4135,1623,249,394,,,11,65,61,,61,6409,2250,0.675675676,5519,20495,18980,4989,4989,23969,1515,2998,2998,4513,20495,7987,7987,28482,81,751,3126,844,21365,778,345,1192,98,7287,7972,2651,635,174,79,58,25,1,,,3,171,2074,1729,539,222,167,79,5,,98,7290,8143,4725,2364,713,301,225,104,6,,41,123,213,463,266,94,83,116,81,35,,,1,6,230,766,605,457,585,331,17,,41,124,219,693,1032,699,540,701,412,52,,17018,7138,9880,9954,4260,5694,3967,1773,2194,17018,9954,3928,39,24,28,22,30,23,28,550,650,540,630,1463,533,5.700425628,6.483600987,8052,79616.29948,19.43132099,0.467860569,1152,-81.029573,33.994755
University of South Carolina-Lancaster,South Carolina,29720,1,2,2,1062.918126,6616589,14326127,0.050618982,330,97,171,50,4721,304,89,4146,104,30,1296,97,28,3394,392,5136,12912,,,,12662137,15877220,873970,15003250,1,15003250,,,151,,,,,,,,,,,,151,76,0.23100304,452,1593,795,,,795,798,,,798,1593,,,1593,3,11,300,23,854,14,386,2,9,491,144,49,42,19,17,22,2,0,,,,,,,,,,,,,9,491,144,49,42,19,17,22,2,0,,418,108,44,31,34,33,24,22,21,63,,,,,,,,,,,,,418,108,44,31,34,33,24,22,21,63,,540,243,297,483,216,267,365,173,192,540,483,335,30,14,20,13,20,15,20,420,530,410,510,46,29,4.32770868,2.728338081,194,48693.71739,10.06662671,0.613333333,46,-80.782385,34.74241
University of South Carolina-Salkehatchie,South Carolina,29810,1,2,2,678.673803,4621371,8794950,0.112384831,235,98,145,61,4527,189,79,2701,71,30,1807,129,54,4412,392,5136,12912,,,,8181394,5683105,468010,5215095,1,5215095,,,121,,,,,,,,,,,,121,44,0.2,353,957,538,,,538,419,,,419,957,,,957,3,3,394,15,392,18,115,17,5,260,129,47,40,22,13,12,8,0,2,,,,,,,,,,,,5,260,129,47,40,22,13,12,8,0,2,142,48,29,33,40,34,30,41,20,2,0,,,,,,,,,,,,142,48,29,33,40,34,30,41,20,2,0,432,185,247,363,159,204,278,120,158,432,363,227,51,14,18,13,19,15,18,360,480,360,480,17,35,2.504885252,5.157116695,121,46205.82353,8.988117669,0.326923077,17,-81.29991,33.01547
University of South Carolina-Sumter,South Carolina,29150-2498,1,2,2,869.882922,5235101,12244859,0.052096607,288,96,129,43,5187,279,93,4143,72,24,1470,100,33,4321,392,5136,12912,,,,11093600,11903698,794308,11109390,100001,11109390,,,71,,,,,,,,,,,,71,19,0.072796935,427,1206,700,,,700,506,,,506,1206,,,1206,5,16,309,49,594,36,190,7,24,400,128,61,38,10,17,19,3,0,,,,,,,,,,,,,24,400,128,61,38,10,17,19,3,0,,207,62,41,54,47,23,25,27,15,5,,,,,,,,,,,,,207,62,41,54,47,23,25,27,15,5,,698,277,421,406,179,227,270,120,150,698,406,247,23,17,22,16,23,16,20,430,540,420,520,51,24,5.862857944,2.758991974,148,49869.70588,12.53042188,0.68,51,-80.371643,33.93247
University of South Carolina-Union,South Carolina,29379,1,2,2,315.692256,1987076,4337751,0.024198873,100,100,79,79,4992,98,98,2876,17,17,1648,61,61,5336,392,5136,12912,,,,3715222,4293563,230297,4063266,30006,4063266,,,47,,,,,,,,,,,,47,21,0.272727273,147,507,219,,,219,288,,,288,507,,,507,1,0,133,8,303,5,56,1,12,106,39,25,22,10,1,4,0,0,0,,,,,,,,,,,,12,106,39,25,22,10,1,4,0,0,0,174,36,12,11,11,13,7,14,6,3,1,,,,,,,,,,,,174,36,12,11,11,13,7,14,6,3,1,155,55,100,127,49,78,96,38,58,155,127,84,12,14,20,14,20,15,18,390,510,375,510,7,15,2.217349291,4.751462766,57,46717,9.186161348,0.318181818,7,-81.6215,34.717307
Coastal Carolina University,South Carolina,29526,1,2,2,7686.762074,100494881,140691811,0.084132892,1534,87,554,31,5313,764,43,4670,472,27,4075,1206,68,7825,80,8870,18690,80,9600,11880,118644429,249896625,111073344,138823281,12220235,138823281,,,,1289,92,,,,,,0,,,,1381,568,0.43030303,2795,7920,7138,116,116,7254,782,324,324,1106,7920,440,440,8360,41,88,1215,221,6541,93,52,109,66,2812,2547,1222,310,90,35,42,13,1,,,,1,64,36,7,2,4,2,0,,66,2812,2548,1286,346,97,37,46,15,1,,160,148,71,165,85,53,24,31,28,17,,,,1,61,81,45,34,60,39,3,,160,148,72,226,166,98,58,91,67,20,,7514,4012,3502,5215,2391,2824,1655,811,844,7514,5215,1643,12,20,23,,,,,480,560,460,540,315,168,4.09795434,2.953129,1313,60786.55873,12.15075985,0.581180812,315,-79.011757,33.794961
South Carolina State University,South Carolina,29117-0001,1,2,2,4112.334461,49574786,113526442,0.171970162,690,97,511,72,5312,313,44,3328,203,28,13394,570,80,7833,7838,624,1052,7838,624,1052,119568874,160248462,95938750,64309712,4780325,64309712,,,,565,123,21,,,,,0,31,,31,709,371,0.392592593,973,3874,3567,284,284,3851,307,380,380,687,3874,664,664,4538,3,11,4237,24,144,,108,11,33,1253,1307,726,128,39,30,38,7,1,5,,0,2,80,78,36,27,42,19,0,0,33,1253,1309,806,206,75,57,80,26,1,5,16,34,47,86,40,20,19,27,14,2,2,,1,1,14,52,76,90,83,61,1,1,16,35,48,100,92,96,109,110,75,3,3,4204,1682,2522,3169,1426,1743,966,460,506,4204,3169,923,43,15,18,,,,,370,470,370,470,240,64,5.83610118,1.556293648,694,60547.48035,15.3197656,0.789473684,229,-80.853602,33.501765
University of South Carolina-Upstate,South Carolina,29303-4999,1,2,2,4658.319876,46866107,76903248,0.07816986,811,97,395,47,5223,690,82,4152,303,36,3344,538,64,6221,500,8362,17004,500,9436,20336,66358245,95233629,51570629,43663000,245000,43663000,,,,1026,6,,,,0,,0,,,,1032,248,0.385692068,1706,5291,4157,5,5,4162,1134,107,107,1241,5291,112,112,5403,14,106,1351,200,3327,135,198,72,19,1324,1322,828,324,137,89,88,26,0,0,,,,2,2,0,0,0,1,0,,19,1324,1322,830,326,137,89,88,27,0,0,158,109,180,231,160,97,70,76,42,10,1,,,,7,15,19,18,21,26,1,,158,109,180,238,175,116,88,97,68,11,1,2822,955,1867,2213,742,1471,875,309,566,2822,2213,870,5,18,22,16,22,17,22,430,520,420,520,206,176,4.422195244,3.778186228,834,54758.05825,10.8622854,0.539267016,206,-81.970758,34.994537
Spartanburg Methodist College,South Carolina,29301-5899,2,2,2,788.102914,9644064,13272844,0.383555729,434,96,232,51,4737,434,96,3571,434,96,4900,266,59,4265,225,12723,12723,,,,11151630,34834840,6589386,28245454,2339000,28245454,,16232664,174,,,,,,,,,,,,174,160,0.371229698,506,808,775,,,775,33,,,33,808,,,808,1,10,218,38,538,,0,3,7,680,74,7,2,3,2,0,,,,,,,,,,,,,,,7,680,74,7,2,3,2,0,,,,17,4,4,1,4,0,1,2,,,,,,,,,,,,,,,17,4,4,1,4,0,1,2,,,,1202,674,528,847,476,371,452,192,260,1202,847,451,1,15,20,13,19,16,20,408,500,350,490,28,19,3.552835487,2.410852652,149,44640.67857,12.4349242,0.595744681,28,-81.974609,34.955352
Spartanburg Community College,South Carolina,29303,1,2,2,3961.338469,25679663,54099482,0.021712863,879,96,632,69,4810,496,54,2704,14,2,1587,153,17,2533,40,4242,7156,,,,52865220,54367820,14617104,39750716,3885375,39750716,,,386,,,,,178,60,,,,,,386,73,0.094193548,1814,5713,3076,,,3076,2637,,,2637,5713,,,5713,14,154,1532,135,3509,,366,3,54,1090,657,381,323,196,149,176,50,0,,,,,,,,,,,,,54,1090,657,381,323,196,149,176,50,0,,212,310,417,392,397,293,205,285,117,9,,,,,,,,,,,,,212,310,417,392,397,293,205,285,117,9,,,,,,,,,,,,,,,,,,,,,,,,,111,254,2.802083207,6.411974185,663,45615.93694,7.421733899,0.304109589,111,-81.992943,34.97227
Central Carolina Technical College,South Carolina,29150-2499,1,2,2,2344.154163,12723947,27294402,0.004759451,459,97,366,78,6016,214,45,1765,6,1,642,154,33,3132,20,3888,5888,,,,29503072,46099530,10515851,35583679,1550413,35583679,,,228,,,,,413,61,,,,,,228,35,0.104166667,1165,4137,1438,,,1438,2699,,,2699,4137,,,4137,14,51,2130,56,1878,,7,1,27,382,293,198,187,127,74,99,50,1,,,,,,,,,,,,,27,382,293,198,187,127,74,99,50,1,,138,261,376,413,543,300,214,325,122,7,,,,,,,,,,,,,138,261,376,413,543,300,214,325,122,7,,,,,,,,,,,,,,,,,,,,,,,,,88,140,3.754019313,5.972303452,371,44684.93182,7.678675867,0.385964912,88,-80.369605,33.933102
Tri-County Technical College,South Carolina,29670,1,2,2,4968.475478,23427482,55752120,,1488,93,749,47,4729,1111,70,3032,35,2,1097,473,30,3793,144,3360,6888,,,,54441916,64741343,12591147,52150196,5716141,52150196,,,554,,,,,187,143,,,,,,554,102,0.094531974,2850,6731,4064,,,4064,2694,,,2694,6758,,,6758,17,79,982,123,5448,,109,0,52,1810,793,447,323,228,147,199,64,1,,,,,,,,,,,,,52,1810,793,447,323,228,147,199,64,1,,352,273,419,411,395,265,207,256,111,5,,,,,,,,,,,,,352,273,419,411,395,265,207,256,111,5,,,,,,,,,,,,,,,,,,,,,,,,,122,308,2.455481577,6.199084636,776,43823.02459,5.957561858,0.28372093,122,-82.76653,34.60897
Trident Technical College,South Carolina,29423-8067,1,2,2,9534.509786,53599920,110285961,0.014225357,1888,93,1128,56,4682,1028,51,2213,5,0,260,756,37,4870,100,3728,6432,,,,107634521,128671573,23757044,104914529,7433323,104914529,,,1064,,,,,714,127,,,,,,1064,112,0.071611253,4027,14834,6856,,,6856,7978,,,7978,14834,,,14834,65,300,4295,379,9265,,530,0,61,2222,1429,1051,867,480,313,309,123,1,,,,,,,,,,,,,61,2222,1429,1051,867,480,313,309,123,1,,498,710,942,1314,1601,961,657,865,404,26,,,,,,,,,,,,,498,710,942,1314,1601,961,657,865,404,26,,,,,,,,,,,,,,,,,,,,,,,,,299,397,3.135976644,4.163821832,1174,47152.86288,6.932710908,0.429597701,299,-80.031715,32.924123
Voorhees College,South Carolina,29042,2,2,2,682.78571,7064009,17774254,0.138474767,274,99,241,87,6703,147,53,3623,176,64,4252,217,79,6914,500,9664,9664,,,,17604900,30514013,18186716,12327297,1365396,12327297,,4830294,,110,,,,,,,,,,,110,53,0.281914894,314,701,671,,,671,30,,,30,701,,,701,2,0,666,1,6,,17,9,6,331,158,82,32,19,21,21,1,0,,,,,,,,,,,,,6,331,158,82,32,19,21,21,1,0,,0,7,4,4,5,0,2,3,4,1,,,,,,,,,,,,,0,7,4,4,5,0,2,3,4,1,,2569,1006,1563,1811,684,1127,279,141,138,2569,1811,279,0,,,,,,,,,,,38,18,5.56543575,2.636259039,207,42385.63158,25.19091971,0.678571429,38,-81.12878,33.30693
Winthrop University,South Carolina,29733,1,2,2,5434.768192,67107085,115534510,0.158360686,1033,98,446,43,5140,911,87,4808,351,33,5167,763,73,6250,0,11606,21596,0,11180,20694,109654225,178925237,94804897,84120340,4859740,84120340,,,,908,334,,,0,,,0,9,,9,1242,544,0.544544545,1374,5095,4473,464,464,4937,624,680,680,1304,5097,1144,1144,6241,26,94,1589,116,4267,,0,149,28,1779,1736,645,158,39,47,30,10,1,,,,7,184,142,53,31,36,11,0,,28,1779,1743,829,300,92,78,66,21,1,,237,43,25,107,65,41,38,44,17,7,,,,1,105,184,105,87,103,80,15,,237,43,26,212,249,146,125,147,97,22,,4065,1273,2792,2872,682,2190,1060,325,735,4065,2872,1060,0,20,25,,,,,490,590,470,580,285,222,5.244013911,6.679217718,1305,63232.56272,15.51124115,0.439814815,279,-81.00228,34.94654
Wofford College,South Carolina,29303-3663,2,2,2,1457.678569,43232952,62961503,0.476829526,358,91,72,18,5474,242,62,7274,329,84,18208,158,40,5348,1040,29240,29240,,,,51453500,252845323,55932056,196913267,24177196,196913267,,141841275,,318,,,,,,,,,,,318,267,0.826625387,419,1468,1451,,,1451,17,,,17,1468,,,1468,3,41,106,32,1238,,29,19,6,690,694,58,1,1,0,1,,,,,,,,,,,,,,,6,690,694,58,1,1,0,1,,,,3,2,0,6,0,1,2,3,,,,,,,,,,,,,,,3,2,0,6,0,1,2,3,,,,2443,1260,1103,1415,679,736,392,189,203,2443,1415,392,0,23,29,23,30,24,29,570,660,540,680,117,20,8.026460873,1.372044594,414,66660.62393,23.39336032,0.854014599,117,-81.937337,34.957217
York Technical College,South Carolina,29730,1,2,2,3998.698168,20500438,46898947,,973,95,585,57,4705,484,47,2477,65,6,845,133,13,5002,136,3528,7392,,,,41082057,49898445,5750709,44147736,2597009,44147736,,,442,,,,,345,133,,,,,,442,116,0.156123822,1976,6034,2970,,,2970,3064,,,3064,6034,,,6034,55,85,1501,119,3893,,381,0,31,961,578,339,293,222,168,227,149,2,0,,,,,,,,,,,,31,961,578,339,293,222,168,227,149,2,0,695,316,322,341,383,284,211,369,136,6,1,,,,,,,,,,,,695,316,322,341,383,284,211,369,136,6,1,,,,,,,,,,,,,,,,,,,,,,,,124,185,3.101009248,4.626505733,601,48197.62903,7.602474286,0.401294498,124,-80.998242,34.948603
Augustana College,South Dakota,57197-0001,2,2,2,1716.273224,40619415,45306492,0.455486767,431,100,127,29,5643,99,23,1135,431,100,12829,326,76,8944,274,23276,23276,274,25442,25442,39077763,122910400,30782194,92128206,4888023,92128206,,50010110,,362,11,,,,,,,,,,373,264,0.673469388,514,1771,1666,1,1,1667,105,21,21,126,1771,22,22,1793,7,19,24,3,1686,,14,40,2,715,716,185,20,12,6,8,1,,1,,,,1,0,0,,0,,0,0,2,715,716,186,20,12,6,8,1,0,1,9,4,12,30,15,10,5,14,5,,1,,,,6,9,1,,3,,1,1,9,4,12,36,24,11,5,17,5,1,2,1284,565,719,1036,438,598,432,171,261,1284,1036,431,1,22,28,22,28,22,27,420,660,460,680,125,56,7.283222639,3.262883742,438,53631.912,19.92689714,0.690607735,125,-96.736273,43.52661
Black Hills State University,South Dakota,57799-9500,1,2,2,3153.64157,20715362,42019090,0.071984646,496,90,226,41,4596,63,11,954,197,36,1441,409,74,5983,3707,2934,2934,2780,3336,3336,42877851,70745299,25178668,45566631,3943295,45566631,,,27,446,74,,,,,,29,,,,547,168,0.294220665,1215,3769,2549,2,2,2551,1220,305,305,1525,3769,307,307,4076,146,28,30,71,3422,,326,53,4,668,738,650,247,111,48,62,21,0,,,,,0,1,1,0,0,0,,,4,668,738,650,248,112,48,62,21,0,,7,82,176,271,266,160,89,108,60,1,,,,,15,70,52,48,67,53,,,7,82,176,286,336,212,137,175,113,1,,1578,642,936,1104,452,652,600,252,348,1578,1104,551,49,19,23,17,23,17,23,,,,,136,65,4.312474864,2.314784302,467,55611.27612,11.47879339,0.650717703,134,-103.870398,44.495655
Kilian Community College,South Dakota,57103-7020,2,2,2,171.999776,1756448,3169000,0.011244284,28,100,23,82,3067,3,11,2561,3,11,417,27,96,5133,255,8820,8820,,,,2846415,3301057,1490874,1810183,142075,1810183,,159529,32,,,,,,1,,,,,,32,2,0.086956522,130,336,64,,,64,272,,,272,336,,,336,39,2,35,4,234,0,22,0,2,11,13,11,10,6,8,1,2,0,0,,,,,,,,,,,,2,11,13,11,10,6,8,1,2,0,0,9,25,27,38,59,48,26,24,12,2,2,,,,,,,,,,,,9,25,27,38,59,48,26,24,12,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,26,3.488376636,15.11629876,51,40206.5,11.04652601,0.1875,6,-96.722843,43.551231
Dakota State University,South Dakota,57042-1799,1,2,2,1846.563571,13820309,29706308,0.064539295,273,95,131,46,4661,50,17,965,148,52,1450,227,79,6029,3414,2751,4124,2731,3336,7062,31858767,29923614,14226010,15697604,1144224,15697604,,,38,185,64,2,,4,3,,,,,,289,103,0.453744493,1125,2592,1143,53,53,1196,1449,182,182,1631,2592,235,235,2827,35,38,48,45,2347,38,158,118,2,403,409,223,61,19,11,11,4,,,,,2,10,13,9,9,8,2,,,2,403,411,233,74,28,20,19,6,,,4,196,267,311,307,152,93,88,31,,,,,0,27,37,35,38,30,15,,,4,196,267,338,344,187,131,118,46,,,672,354,318,630,333,297,323,186,137,672,630,307,16,19,25,17,24,17,25,,,,,94,28,5.090536902,3.032660282,310,59392.23913,12.13064113,0.626666667,92,-97.109664,44.0134
Dakota Wesleyan University,South Dakota,57301-4398,2,2,2,714.180206,13613012,16409998,0.446270598,168,100,71,42,4520,29,17,1139,163,97,9550,145,86,7479,0,19000,19000,0,5400,5400,13868297,41609748,10266752,31342996,1692942,31342996,,19837521,71,91,12,,,,,,,,,,174,46,0.386554622,291,735,678,5,5,683,57,23,23,80,735,28,28,763,14,10,18,26,661,,24,10,1,235,205,137,53,20,9,14,4,,,,,,1,1,1,1,1,,,,1,235,205,138,54,21,10,15,4,,,2,5,7,10,11,8,8,4,2,,,,,,6,14,0,1,2,,,,2,5,7,16,25,8,9,6,2,,,538,320,218,434,268,166,168,93,75,538,434,168,0,18,26,15,26,16,26,410,580,390,630,44,29,6.160910038,5.040744576,176,44446.18182,18.20268875,0.55,44,-98.032648,43.698835
Lake Area Technical Institute,South Dakota,57201-0730,1,2,2,1189.367761,5176487,22264408,0.033910063,588,97,374,62,4004,51,8,3818,133,22,828,566,94,5163,1958,3024,3024,,,,19713542,26919184,2507408,24411776,1718160,24411776,,,302,,,,,147,44,,,,,,302,431,0.735494881,650,1291,1138,,,1138,153,,,153,1291,,,1291,23,7,3,15,1243,0,0,0,1,470,362,134,83,40,16,19,13,0,,,,,,,,,,,,,1,470,362,134,83,40,16,19,13,0,,15,6,24,25,22,17,12,22,7,3,,,,,,,,,,,,,15,6,24,25,22,17,12,22,7,3,,1476,727,749,879,437,442,719,359,360,1476,879,672,47,,,,,,,,,,,77,12,6.474027843,1.008939404,162,42436.73684,11.3505683,0.865168539,76,-97.096448,44.902248
Mitchell Technical Institute,South Dakota,57301,1,2,2,904.36055,7595146,14000252,,462,83,439,79,3025,8,1,1225,15,3,987,332,60,5392,1900,3360,3360,,,,12976551,15666940,1300109,14366831,549740,14366831,,,170,,,,,8,178,29,,,,,170,225,0.698757764,691,1004,854,,,854,150,,,150,1004,,,1004,25,7,6,4,962,0,0,0,1,297,245,117,72,26,18,24,13,0,41,,,,,,,,,,,,1,297,245,117,72,26,18,24,13,0,41,4,13,12,3,11,15,8,33,23,2,26,,,,,,,,,,,,4,13,12,3,11,15,8,33,23,2,26,,,,,,,,,,,,,,,,,,,,,,,,52,1,5.7499191,0.110575367,106,44226.57692,10.94696136,0.981132075,52,-98.017119,43.717061
Mount Marty College,South Dakota,57078-3724,2,2,2,914.678501,12202001,18310310,,103,98,52,50,4701,10,10,800,94,90,9451,96,91,6491,1830,17078,17078,893,11655,11655,12833410,29706161,5320674,24385487,2021841,24385487,,13155426,19,152,57,,,,4,,1,,,,228,84,0.56,386,1081,588,133,133,721,493,,,493,1081,133,133,1214,36,12,20,36,1066,6,38,0,4,193,174,88,73,20,12,18,6,0,0,,,,2,53,44,22,10,2,,,4,193,174,90,126,64,34,28,8,0,0,203,46,11,31,48,51,34,41,20,2,6,,,,,,,,,,,,203,46,11,31,48,51,34,41,20,2,6,333,123,210,259,94,165,116,46,70,333,259,110,6,19,24,22,26,17,22,,,,,43,57,4.701105356,6.231697797,204,48466.39535,12.46339559,0.43,43,-97.411406,42.876148
National American University-Rapid City,South Dakota,57701-3692,3,2,2,1076.041194,17317065,23936331,0.021979879,36,86,35,83,5997,6,14,5985,2,5,1989,29,69,10497,405,11016,11016,270,8640,8640,26136651,24325872,13142548,,,,,,56,172,65,,,,7,,,,,,293,27,0.375,569,1685,399,100,100,499,1286,188,188,1474,1685,288,288,1973,34,22,143,49,790,12,708,215,,3,35,78,99,72,44,44,24,0,,,,,4,24,16,17,21,18,0,,,3,35,82,123,88,61,65,42,0,,,12,111,135,209,231,183,277,124,4,,,,,3,41,28,39,44,32,1,,,12,111,138,250,259,222,321,156,5,,,,,,,,,,,,,,,,,,,,,,,,,7,302,0.650532716,28.06584001,537,43093,20.8170469,0.022653722,7,-103.222473,44.078063
National American University-Sioux Falls,South Dakota,57105-4293,3,2,2,300.821369,5806137,5931012,0.003690406,21,91,16,70,4770,2,9,3000,2,9,1962,21,91,9827,405,10935,10935,,,,3594867,231490,4014,,,,,,45,19,,,,,0,,,,,,64,3,0.25,188,554,137,,,137,417,,,417,554,,,554,15,2,12,5,269,2,249,0,,4,19,35,29,19,13,11,7,,,,,,,,,,,,,,,4,19,35,29,19,13,11,7,,,,3,22,55,99,83,67,64,24,,,,,,,,,,,,,,,3,22,55,99,83,67,64,24,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,6.980887053,46,,6.980887053,,,-96.71729,43.4884
Northern State University,South Dakota,57401-7198,1,2,2,1991.734485,11680464,32952154,0.170782085,308,97,139,44,5135,53,17,958,199,63,2011,243,76,5785,3312,2751,8737,2649,3336,7062,35577202,42397814,15473483,26924331,2021198,26924331,,,16,252,66,,,13,,,7,,,,334,135,0.473684211,939,2300,1539,44,44,1583,761,281,281,1042,2300,325,325,2625,56,23,37,31,2017,37,239,185,1,503,593,313,77,26,12,11,3,0,,,,0,16,10,5,3,6,4,,,1,503,593,329,87,31,15,17,7,0,,153,55,82,183,116,58,41,48,24,1,,,,1,22,65,47,27,68,51,,,153,55,83,205,181,105,68,116,75,1,,1023,405,518,863,371,492,331,128,203,1023,863,325,6,18,24,17,24,17,25,450,580,390,540,96,34,4.819919559,3.765562155,427,57307.5,15.61453107,0.561403509,96,-98.483697,45.452739
